Word,Style
monosyllables,literary
orders,literary
bluestocking,literary
jockey,literary
find,literary
rigidly,literary
impaling,literary
lecturing,literary
dreary,literary
unleavened,literary
killable,literary
rockaways,literary
lappets,literary
tension,literary
mint,literary
stitches,literary
evenings,literary
urns,literary
alaska,literary
recommended,literary
bentley,literary
amount,literary
dragging,literary
howe,literary
furthermore,literary
whipped,literary
valuable,literary
entwined,literary
aggravated,literary
mean,literary
ranch,literary
principal,literary
words,literary
henry,literary
guinea,literary
rotated,literary
bolting,literary
dizzily,literary
shoe,literary
filled,literary
tomb,literary
drowsing,literary
swerved,literary
procreative,literary
exposure,literary
raucously,literary
concern,literary
polishes,literary
those,literary
dive,literary
prevented,literary
regions,literary
crumble,literary
ages,literary
speaking,literary
nimbler,literary
knuckles,literary
kidding,literary
tragic,literary
farmer,literary
grasshoppers,literary
summers,literary
kong,literary
intimidated,literary
squatting,literary
bear,literary
hilltops,literary
bass,literary
rather,literary
cover,literary
sad,literary
keyboard,literary
changes,literary
we,literary
sink,literary
flew,literary
fluff,literary
rendering,literary
victoriously,literary
plant,literary
chords,literary
hulk,literary
warn,literary
infection,literary
gripped,literary
comparison,literary
production,literary
gate,literary
wits,literary
device,literary
quill,literary
badly,literary
wanted,literary
stuck,literary
tone,literary
threw,literary
lest,literary
lavender,literary
enroll,literary
before,literary
fountain,literary
basement,literary
illnesses,literary
sandals,literary
effectively,literary
railhead,literary
explode,literary
consideration,literary
peddler,literary
impassable,literary
pitied,literary
fierceness,literary
blackened,literary
excuse,literary
wheel,literary
aid,literary
necessities,literary
problem,literary
held,literary
minorities,literary
sage,literary
gambit,literary
threes,literary
positive,literary
bastards,literary
stump,literary
scheme,literary
applaud,literary
dispensed,literary
moonlit,literary
exultantly,literary
questioned,literary
campus,literary
mail,literary
vines,literary
tribal,literary
plump,literary
excess,literary
odor,literary
specialty,literary
chandler,literary
groom,literary
breakin,literary
circumstances,literary
shrank,literary
excursions,literary
ambitious,literary
necklace,literary
history,literary
adventures,literary
pork,literary
taught,literary
straightened,literary
rubbed,literary
chattering,literary
flapped,literary
sins,literary
georgian,literary
daring,literary
laments,literary
mothers,literary
ida,literary
crashing,literary
practical,literary
contrary,literary
metro,literary
attending,literary
reunions,literary
cumulus,literary
photographed,literary
guided,literary
circumspect,literary
samuel,literary
helluva,literary
possessed,literary
lined,literary
regretted,literary
issues,literary
talmud,literary
parting,literary
squirted,literary
simmer,literary
migrated,literary
plenty,literary
serves,literary
bullhide,literary
interdependent,literary
ground,literary
knowing,literary
communiques,literary
reasoned,literary
pillow,literary
successive,literary
illegal,literary
supplicating,literary
capturing,literary
ringing,literary
divide,literary
oriental,literary
hallway,literary
blind,literary
squirt,literary
vicissitudes,literary
groceries,literary
restlessly,literary
immobility,literary
lamps,literary
perhaps,literary
presents,literary
welcoming,literary
knows,literary
desolate,literary
master,literary
marked,literary
swirl,literary
deciding,literary
nearer,literary
angel,literary
retreated,literary
ranted,literary
durer,literary
furniture,literary
cathedrals,literary
drying,literary
lounging,literary
rapid,literary
replanted,literary
begotten,literary
sizzled,literary
cloud,literary
breakables,literary
staircase,literary
shaded,literary
bid,literary
luminous,literary
jam,literary
catchee,literary
naive,literary
atheists,literary
temptation,literary
purtiest,literary
might,literary
rooftop,literary
pressing,literary
trivial,literary
smoke,literary
detectors,literary
boom,literary
barges,literary
pitiable,literary
weaknesses,literary
tropical,literary
cavern,literary
england,literary
embankment,literary
postures,literary
biwa,literary
column,literary
gladly,literary
dumps,literary
cassocked,literary
land,literary
separated,literary
stupidity,literary
rank,literary
devices,literary
moisture,literary
advocating,literary
disorganized,literary
decrees,literary
newest,literary
elapsed,literary
neighbors,literary
unscrewed,literary
aiding,literary
pin,literary
athens,literary
enlarge,literary
gallants,literary
michelson,literary
seaman,literary
image,literary
isolating,literary
okay,literary
permit,literary
neon,literary
abuses,literary
certainty,literary
robe,literary
chieti,literary
heaving,literary
lemme,literary
sensitive,literary
country,literary
fraud,literary
hardtack,literary
grappling,literary
hinges,literary
hoofs,literary
masculine,literary
heavers,literary
cigarettes,literary
sometime,literary
couch,literary
unhesitatingly,literary
skates,literary
sunburn,literary
ledgers,literary
policemen,literary
review,literary
bellini,literary
other,literary
snuggled,literary
sixth,literary
scorn,literary
punishment,literary
answers,literary
hallowed,literary
tumbling,literary
safely,literary
pugh,literary
released,literary
exclusive,literary
package,literary
unexpectedly,literary
neatest,literary
wolves,literary
reigned,literary
ainus,literary
prematurely,literary
numb,literary
underestimate,literary
travelled,literary
dog,literary
since,literary
laid,literary
blessed,literary
expect,literary
resigned,literary
hate,literary
biography,literary
distinguished,literary
reuben,literary
mysteriously,literary
admired,literary
rumanian,literary
sharp,literary
electrifying,literary
argiento,literary
odyssey,literary
adjusted,literary
organically,literary
changed,literary
rostrum,literary
sought,literary
rabble,literary
teething,literary
submitting,literary
muffled,literary
guide,literary
culprits,literary
jupiter,literary
elbowing,literary
wailed,literary
revived,literary
journeys,literary
loving,literary
mutton,literary
conducted,literary
grace,literary
doves,literary
clam,literary
emergencies,literary
likewise,literary
common,literary
specialized,literary
dizziness,literary
numerals,literary
litowski,literary
plastic,literary
shills,literary
thirty,literary
delivery,literary
hoops,literary
sustain,literary
cutest,literary
take,literary
summertime,literary
bullet,literary
married,literary
umm,literary
veranda,literary
indeed,literary
brides,literary
alloy,literary
connect,literary
snarling,literary
uncombable,literary
grows,literary
blasphemous,literary
booby,literary
flamed,literary
charles,literary
alive,literary
mcclellan,literary
penniless,literary
fielder,literary
fled,literary
plausible,literary
ventured,literary
peach,literary
come,literary
surveyed,literary
grease,literary
respectable,literary
fowl,literary
lodgings,literary
yuki,literary
nationwide,literary
niggers,literary
barley,literary
dissolve,literary
him,literary
scenes,literary
gifted,literary
forked,literary
delicately,literary
grabbed,literary
highest,literary
respected,literary
ashamed,literary
registered,literary
inconvenient,literary
overpriced,literary
soared,literary
london,literary
squinting,literary
named,literary
flame,literary
palpably,literary
unqualified,literary
aloneness,literary
distraction,literary
factor,literary
somers,literary
administration,literary
because,literary
congressmen,literary
irv,literary
indefinable,literary
unsmilingly,literary
unprotected,literary
similarly,literary
angry,literary
macon,literary
green,literary
xavier,literary
slug,literary
ribbon,literary
halls,literary
haint,literary
casts,literary
considerably,literary
vulture,literary
decided,literary
bites,literary
expectant,literary
moth,literary
walt,literary
fulbright,literary
unsee,literary
trample,literary
bottom,literary
quitting,literary
memorized,literary
fundamentals,literary
the,literary
interesting,literary
affects,literary
longshoremen,literary
became,literary
borders,literary
borne,literary
toward,literary
renaissance,literary
rings,literary
hedge,literary
blinking,literary
adelia,literary
drink,literary
episode,literary
merrymaking,literary
appetite,literary
estate,literary
guilt,literary
alarmed,literary
losses,literary
snowy,literary
raynal,literary
sung,literary
inflection,literary
bottoms,literary
celebrations,literary
decision,literary
paid,literary
hitting,literary
slackened,literary
divorce,literary
faithful,literary
cancer,literary
suppressed,literary
towering,literary
turban,literary
springtime,literary
undertakings,literary
striving,literary
brandy,literary
twirler,literary
litter,literary
bandaged,literary
indigestion,literary
seeing,literary
mattathias,literary
resolutely,literary
wildness,literary
penetrating,literary
coughlin,literary
cestre,literary
gentle,literary
authors,literary
dig,literary
despair,literary
sore,literary
gowns,literary
palace,literary
rutted,literary
malingering,literary
asks,literary
bereavement,literary
fellers,literary
descent,literary
enduring,literary
stayed,literary
jiving,literary
attended,literary
victory,literary
triangle,literary
magnificently,literary
further,literary
shorts,literary
telephoning,literary
heavy,literary
sing,literary
convincingly,literary
shakily,literary
croaking,literary
tennessee,literary
intuition,literary
gouging,literary
issued,literary
chill,literary
sterns,literary
mmm,literary
constantine,literary
term,literary
apologetically,literary
paintings,literary
transcending,literary
nearby,literary
