Word,Style,Weight
familiarness,literary,1.0
overall,literary,0.3333333333333333
ingenious,literary,0.3333333333333333
gratitude,literary,1.0
potatoes,literary,0.3333333333333333
jewish,literary,0.5
eat,literary,0.3333333333333333
lots,literary,0.3333333333333333
immigrants,literary,0.5
hellfire,literary,1.0
ended,literary,0.3333333333333333
plagued,literary,0.3333333333333333
inquiries,literary,0.3333333333333333
ear,literary,0.3333333333333333
ablard,literary,1.0
wing,literary,0.3333333333333333
boast,literary,0.5
bandit,literary,0.5
sitting,literary,0.3333333333333333
thighs,literary,1.0
railhead,literary,1.0
paste,literary,0.3333333333333333
behaved,literary,1.0
bumps,literary,1.0
blink,literary,1.0
maria,literary,0.5
familial,literary,1.0
nary,literary,1.0
minorities,literary,0.3333333333333333
wailing,literary,1.0
dreary,literary,0.5
soutane,literary,1.0
puddles,literary,1.0
stubborn,literary,1.0
sparkling,literary,1.0
bat,literary,0.5
futility,literary,1.0
dolls,literary,1.0
starched,literary,1.0
foul,literary,1.0
moccasin,literary,1.0
tugged,literary,1.0
adamant,literary,0.5
crew,literary,0.5
tunnel,literary,0.5
shuddered,literary,1.0
catholic,literary,0.5
conferred,literary,0.3333333333333333
malta,literary,1.0
shapeless,literary,0.5
askington,literary,1.0
for,literary,0.3333333333333333
beware,literary,1.0
thunder,literary,1.0
rotated,literary,0.5
truthfully,literary,1.0
occasionally,literary,0.3333333333333333
cameras,literary,0.3333333333333333
firecrackers,literary,1.0
climbed,literary,0.5
rooftops,literary,0.5
modigliani,literary,1.0
snickered,literary,1.0
entrance,literary,0.3333333333333333
trenchard,literary,1.0
wristwatch,literary,1.0
plank,literary,0.5
owns,literary,0.3333333333333333
censure,literary,1.0
lately,literary,0.3333333333333333
departing,literary,1.0
wheezed,literary,1.0
neon,literary,0.5
dick,literary,0.5
wanna,literary,1.0
wakes,literary,1.0
jackdaws,literary,1.0
envelope,literary,0.3333333333333333
flick,literary,1.0
huddling,literary,0.5
pinto,literary,1.0
manumission,literary,1.0
unreliable,literary,0.5
ice,literary,0.3333333333333333
underwater,literary,0.5
energetic,literary,0.3333333333333333
devout,literary,1.0
rebuff,literary,1.0
mopped,literary,0.5
mint,literary,1.0
buttons,literary,1.0
attis,literary,1.0
particle,literary,0.3333333333333333
nagging,literary,0.5
baritone,literary,1.0
guinea,literary,0.5
trace,literary,0.3333333333333333
quotations,literary,0.5
flooded,literary,0.3333333333333333
lowdown,literary,1.0
flumenophobe,literary,1.0
weatherproof,literary,1.0
plopped,literary,1.0
stamping,literary,0.5
raked,literary,1.0
benoit,literary,1.0
prefecture,literary,1.0
punch,literary,0.3333333333333333
fairbrothers,literary,1.0
flotilla,literary,1.0
improperly,literary,0.5
ungainly,literary,1.0
tissue,literary,0.3333333333333333
wiping,literary,0.5
gusty,literary,1.0
flung,literary,0.5
hutment,literary,1.0
flourished,literary,0.5
unseen,literary,0.5
stern,literary,0.3333333333333333
languishing,literary,1.0
clarify,literary,0.3333333333333333
proverbial,literary,0.5
uttermost,literary,1.0
gauze,literary,1.0
cleft,literary,1.0
pretentious,literary,0.5
jeff,literary,0.5
preached,literary,0.5
aim,literary,0.3333333333333333
brink,literary,0.5
hotter,literary,1.0
punctuated,literary,0.5
wheedled,literary,1.0
detect,literary,0.3333333333333333
belzec,literary,1.0
unlaced,literary,1.0
arrived,literary,0.3333333333333333
aimless,literary,1.0
counter,literary,0.3333333333333333
traces,literary,0.3333333333333333
was,literary,0.3333333333333333
invariably,literary,0.5
ida,literary,1.0
eared,literary,1.0
patched,literary,1.0
lecture,literary,0.3333333333333333
sugared,literary,1.0
lacy,literary,0.5
arthritis,literary,1.0
dejeuners,literary,1.0
belligerence,literary,1.0
alimony,literary,1.0
authentic,literary,0.5
complaisant,literary,1.0
patriot,literary,0.5
inch,literary,0.5
sonny,literary,1.0
gorgeous,literary,0.5
triumphantly,literary,1.0
cadillac,literary,0.5
exposed,literary,0.3333333333333333
incarcerated,literary,1.0
shun,literary,1.0
clucks,literary,1.0
danced,literary,1.0
rushes,literary,1.0
decent,literary,0.5
nodded,literary,0.5
jealous,literary,1.0
raftered,literary,1.0
tuberculosis,literary,0.5
sulked,literary,1.0
slippers,literary,0.5
thousandth,literary,1.0
goddammit,literary,1.0
bowman,literary,0.5
fletcher,literary,0.5
borough,literary,1.0
blasphemous,literary,1.0
blended,literary,0.5
convertible,literary,0.5
secular,literary,0.3333333333333333
